"","x_","y_","t_","grid_id"
"392",539099.6588,7609261.216,2005-08-12 00:18:00,215
"393",539345.4794,7610308.143,2005-08-12 08:18:00,215
"394",539314.5918,7610312.841,2005-08-12 12:18:00,215
"395",538554.8343,7611157.871,2005-08-12 16:18:00,241
"396",536637.4645,7613090.043,2005-08-12 20:18:00,266
"397",535643.0869,7613193.264,2005-08-13 00:18:00,266
"398",535109.8443,7614698.539,2005-08-13 04:18:00,291
"399",535247.2501,7614660.979,2005-08-13 08:18:00,291
"400",535234.7326,7614673.041,2005-08-13 12:18:00,291
"401",535406.0898,7614754.987,2005-08-13 16:18:00,291
"402",535063.4228,7614780.044,2005-08-13 20:18:00,291
"403",535137.8319,7614767.962,2005-08-14 00:18:00,291
"404",534985.5397,7614456.659,2005-08-14 08:18:00,265
"405",534973.8377,7614452.716,2005-08-14 12:18:00,265
"406",535185.9388,7614810.71,2005-08-14 16:18:00,291
"407",535144.5943,7614648.484,2005-08-14 20:18:00,291
"408",535289.604,7614673.652,2005-08-15 00:18:00,291
"409",536535.5475,7614099.871,2005-08-15 08:18:00,266
"410",536548.0404,7614122.47,2005-08-15 12:18:00,266
"411",536703.587,7613282.343,2005-08-15 16:18:00,266
"412",537832.5897,7611492.974,2005-08-15 20:18:00,241
"413",537972.3907,7611950.817,2005-08-16 00:18:00,241
"414",537358.801,7613172.798,2005-08-16 08:18:00,266
"415",537366.6919,7613189.933,2005-08-16 12:18:00,266
"416",536825.1232,7613865.818,2005-08-16 16:18:00,266
"417",536207.5165,7614461.523,2005-08-16 20:18:00,266
"418",535951.9365,7614463.753,2005-08-17 00:18:00,266
"419",535233.1818,7614692.596,2005-08-17 04:18:00,291
"420",535249.3189,7614797.713,2005-08-17 08:18:00,291
"421",535258.5606,7614801.267,2005-08-17 12:18:00,291
"422",535622.6026,7615196.596,2005-08-17 16:18:00,291
"423",535386.075,7615021.174,2005-08-17 20:18:00,291
"424",535324.1188,7614842.237,2005-08-18 00:18:00,291
"425",535696.7928,7615188.799,2005-08-18 04:18:00,292
"426",535740.8151,7615174.118,2005-08-18 08:18:00,292
"427",535758.2958,7615148.698,2005-08-18 12:18:00,292
"428",535681.1016,7615148.742,2005-08-18 16:18:00,292
"429",535154.5107,7614923.265,2005-08-18 20:18:00,291
"430",534927.5231,7614302.02,2005-08-19 00:18:00,265
"431",537535.5542,7612737.24,2005-08-19 08:18:00,266
"432",537533.5016,7612743.487,2005-08-19 12:18:00,266
